site_id,sku_id,sku_name,manual_baseline_MAE,digital_twin_MAE,manual_baseline_MAPE_pct,digital_twin_MAPE_pct,manual_baseline_WMAPE_pct,digital_twin_WMAPE_pct,manual_baseline_abs_error_total,manual_baseline_demand_total,digital_twin_abs_error_total,digital_twin_demand_total
SITE_A,HSC-100,IV Drip,83.56,26.89,45.51,15.12,44.72,14.31,2339.8017075482294,5231.849999999999,779.9331428571429,5449.61
SITE_A,HSC-101,Gloves,133.21,38.97,44.25,13.52,45.17,13.13,3729.8282402067625,8257.97,1130.2411428571424,8606.810000000001
SITE_A,HSC-102,IV Drip,84.89,29.23,39.66,14.92,41.18,14.16,2376.9428308755905,5771.9,847.5808095238094,5984.4
SITE_A,HSC-103,Gloves,142.53,43.37,55.88,18.63,56.35,17.01,3990.9534530486967,7082.640000000001,1257.5980952380953,7391.790000000001
SITE_A,HSC-104,X-ray Machine,122.73,49.73,42.92,18.11,44.05,17.77,3436.3831256518433,7800.950000000001,1442.0374047619048,8115.349999999999
SITE_A,HSC-105,IV Drip,69.44,19.5,50.37,14.38,50.27,14.2,1944.3349262621953,3867.98,565.5949761904762,3983.37
SITE_A,HSC-106,Ventilator,144.3,32.76,60.69,15.09,61.65,13.97,4040.278743392557,6553.519999999999,950.0566904761905,6800.3899999999985
SITE_A,HSC-107,Surgical Mask,102.66,29.79,48.35,14.44,49.19,14.37,2874.3504992108196,5843.2699999999995,864.0059285714287,6014.54
SITE_A,HSC-108,Ventilator,150.71,37.09,61.34,15.35,60.66,14.86,4219.940553481645,6957.170000000001,1075.6040952380952,7238.59
SITE_A,HSC-109,X-ray Machine,161.17,48.67,46.2,14.81,48.53,14.65,4512.869049290242,9299.460000000001,1411.5698809523808,9632.94
SITE_B,HSC-100,IV Drip,43.86,14.57,48.8,16.55,46.11,15.49,1228.1571207200736,2663.4399999999996,422.54569047619043,2727.2099999999996
SITE_B,HSC-101,Surgical Mask,116.52,28.63,64.88,16.93,65.48,16.11,3262.53453384191,4982.6,830.366738095238,5153.66
SITE_B,HSC-102,Ventilator,157.21,32.54,69.9,15.73,69.05,14.39,4401.992904676951,6375.510000000001,943.6735952380951,6559.87
SITE_B,HSC-103,IV Drip,113.84,32.82,54.03,16.54,56.0,16.27,3187.565869481502,5692.2,951.6690238095238,5848.34
SITE_B,HSC-104,IV Drip,117.7,43.58,54.34,21.19,54.42,20.47,3295.6687317194555,6056.259999999999,1263.779119047619,6173.289999999999
SITE_B,HSC-105,X-ray Machine,80.17,21.07,70.15,17.99,63.42,16.57,2244.7045575773222,3539.6,610.9830000000001,3687.96
SITE_B,HSC-106,Gloves,86.13,30.77,44.64,17.79,45.65,16.26,2411.73452227374,5282.97,892.3921904761905,5488.68
SITE_B,HSC-107,Gloves,50.53,18.47,49.82,20.92,45.72,16.76,1414.7897551258748,3094.47,535.5743571428571,3194.97
SITE_B,HSC-108,Ventilator,135.22,35.31,64.35,17.21,65.32,17.0,3786.182684858291,5796.699999999999,1024.0978095238095,6023.499999999999
SITE_B,HSC-109,IV Drip,90.67,29.5,39.01,13.73,39.53,12.93,2538.8950068229233,6422.900000000001,855.385976190476,6616.41
SITE_C,HSC-100,Ventilator,68.96,20.96,50.41,17.25,49.08,14.92,1930.7823632961904,3933.7799999999997,607.9183095238096,4073.95
SITE_C,HSC-101,X-ray Machine,84.18,20.98,61.11,16.71,62.5,15.53,2357.1656881888175,3771.4300000000003,608.2783333333333,3917.44
SITE_C,HSC-102,X-ray Machine,103.63,18.79,75.49,14.07,74.53,13.5,2901.517303059538,3893.01,545.032261904762,4036.2200000000007
SITE_C,HSC-103,Gloves,73.99,20.77,54.69,16.48,52.33,14.68,2071.727800485735,3958.83,602.4111904761905,4104.55
SITE_C,HSC-104,IV Drip,102.18,24.52,58.3,15.47,59.56,14.42,2861.1182977266,4803.369999999999,711.120738095238,4930.129999999999
SITE_C,HSC-105,Surgical Mask,56.47,15.68,51.72,16.18,51.54,14.36,1581.1413362598385,3067.5499999999997,454.83300000000014,3166.85
SITE_C,HSC-106,Surgical Mask,45.24,15.56,40.52,15.0,41.41,14.24,1266.7072035471388,3059.28,451.3038333333333,3169.4600000000005
SITE_C,HSC-107,IV Drip,104.59,25.97,72.31,18.61,71.36,17.62,2928.4920884155817,4103.58,753.222880952381,4274.87
SITE_C,HSC-108,X-ray Machine,74.04,19.54,66.87,18.91,66.27,17.44,2073.228511579846,3128.3199999999997,566.588357142857,3248.459999999999
SITE_C,HSC-109,Gloves,128.65,28.23,82.57,18.96,81.0,17.71,3602.139797746713,4447.21,818.7500000000002,4624.239999999999
